"date","segment","units","net_sales_eur"
2026-01-18,"Powertrain Mounts",953,54371.16
2026-01-18,"Sealing",10943,35807.42
2026-01-19,"Cable Protection",22647,145733.45
2026-01-19,"Chassis NVH",9743,235013.53
2026-01-19,"Hoses & Bellows",13749,209503.37
2026-01-19,"Other Automotive",10498,94135.49
2026-01-19,"Powertrain Mounts",4128,231909.57
2026-01-19,"Sealing",79849,256950.54
2026-01-20,"Cable Protection",24104,157906.56
2026-01-20,"Chassis NVH",10489,251201.66
2026-01-20,"Hoses & Bellows",14349,216219.06
2026-01-20,"Other Automotive",11236,100416.89
2026-01-20,"Powertrain Mounts",4357,252222.84
2026-01-20,"Sealing",80299,258497.49
2026-01-21,"Cable Protection",23288,152028.12
2026-01-21,"Chassis NVH",10447,248754.55
2026-01-21,"Hoses & Bellows",14322,218017.24
2026-01-21,"Other Automotive",11989,109599.39
2026-01-21,"Powertrain Mounts",4380,258247.59
2026-01-21,"Sealing",82234,256661.21
2026-01-22,"Cable Protection",22581,142352.42
2026-01-22,"Chassis NVH",9988,241973.84
2026-01-22,"Hoses & Bellows",14028,213928.08
2026-01-22,"Other Automotive",11792,105430.42
2026-01-22,"Powertrain Mounts",4675,274444.59
2026-01-22,"Sealing",81819,257956.23
2026-01-23,"Cable Protection",20741,134018.43
2026-01-23,"Chassis NVH",9442,226052.97
2026-01-23,"Hoses & Bellows",12475,185024.2
2026-01-23,"Other Automotive",10599,94074.69
2026-01-23,"Powertrain Mounts",3942,230351.77
2026-01-23,"Sealing",73379,235883.58
2026-01-24,"Cable Protection",3883,25017.23
2026-01-24,"Chassis NVH",3085,75749.4
2026-01-24,"Hoses & Bellows",4267,61826.9
2026-01-24,"Other Automotive",2625,23708.6
2026-01-24,"Powertrain Mounts",1295,73028.88
2026-01-24,"Sealing",15869,51463.21
2026-01-25,"Cable Protection",2093,13752.32
2026-01-25,"Chassis NVH",2425,60403.67
2026-01-25,"Hoses & Bellows",3561,54146.83
2026-01-25,"Other Automotive",1759,16016.23
2026-01-25,"Powertrain Mounts",887,50945.95
2026-01-25,"Sealing",10303,32949.49
2026-01-26,"Cable Protection",20189,132243.18
2026-01-26,"Chassis NVH",10234,249599.13
2026-01-26,"Hoses & Bellows",13136,199675.26
2026-01-26,"Other Automotive",10311,94255.25
2026-01-26,"Powertrain Mounts",4148,246789.69
2026-01-26,"Sealing",77647,249936.55
2026-01-27,"Cable Protection",20749,134049.1
2026-01-27,"Chassis NVH",10417,241802.55
2026-01-27,"Hoses & Bellows",14361,217436.77
2026-01-27,"Other Automotive",11574,106082.28
2026-01-27,"Powertrain Mounts",4365,253896.26
2026-01-27,"Sealing",78157,250083.03
2026-01-28,"Cable Protection",21256,136237.05
2026-01-28,"Chassis NVH",11343,271457.39
2026-01-28,"Hoses & Bellows",14199,209961.02
2026-01-28,"Other Automotive",11878,107095.1
2026-01-28,"Powertrain Mounts",4278,243092.47
2026-01-28,"Sealing",79751,259005.14
2026-01-29,"Cable Protection",21032,135374.89
2026-01-29,"Chassis NVH",11302,277658.38
2026-01-29,"Hoses & Bellows",13000,192192.63
2026-01-29,"Other Automotive",11732,109939.9
2026-01-29,"Powertrain Mounts",4046,230945.99
2026-01-29,"Sealing",80065,254040.92
2026-01-30,"Cable Protection",20639,139758.32
2026-01-30,"Chassis NVH",10721,258342.05
2026-01-30,"Hoses & Bellows",13060,194395.45
2026-01-30,"Other Automotive",10582,96316.19
2026-01-30,"Powertrain Mounts",3835,226093.47
2026-01-30,"Sealing",76834,245844.75
2026-01-31,"Cable Protection",3973,26434.13
2026-01-31,"Chassis NVH",3274,78629.73
2026-01-31,"Hoses & Bellows",4037,60666.02
2026-01-31,"Other Automotive",2583,23325.76
2026-01-31,"Powertrain Mounts",1211,72313.66
2026-01-31,"Sealing",17016,53917.12
2026-02-01,"Cable Protection",2341,14554.16
2026-02-01,"Chassis NVH",2496,59582.6
2026-02-01,"Hoses & Bellows",3690,55835.95
2026-02-01,"Other Automotive",1711,15250.01
2026-02-01,"Powertrain Mounts",893,52329.33
2026-02-01,"Sealing",11089,36605.22
2026-02-02,"Cable Protection",21243,138312.21
2026-02-02,"Chassis NVH",9504,229924.1
2026-02-02,"Hoses & Bellows",13502,202033.33
2026-02-02,"Other Automotive",10444,92508.5
2026-02-02,"Powertrain Mounts",4033,237993.25
2026-02-02,"Sealing",74065,239421.35
2026-02-03,"Cable Protection",22826,147386.87
2026-02-03,"Chassis NVH",10184,244596.71
2026-02-03,"Hoses & Bellows",15028,228846.36
2026-02-03,"Other Automotive",10859,99039.46
2026-02-03,"Powertrain Mounts",4378,250672.06
2026-02-03,"Sealing",75735,241752.04
2026-02-04,"Cable Protection",25100,167980.3
2026-02-04,"Chassis NVH",11515,277648.48
2026-02-04,"Hoses & Bellows",16194,239322.4
2026-02-04,"Other Automotive",12508,113198.82
2026-02-04,"Powertrain Mounts",4654,273166.06
2026-02-04,"Sealing",80366,254003.75
2026-02-05,"Cable Protection",22662,149552.28
2026-02-05,"Chassis NVH",10952,255644.41
2026-02-05,"Hoses & Bellows",16360,252115.71
2026-02-05,"Other Automotive",11386,104035.91
2026-02-05,"Powertrain Mounts",4619,265381.82
2026-02-05,"Sealing",76985,241060.32
2026-02-06,"Cable Protection",21403,138857.78
2026-02-06,"Chassis NVH",10074,238981.03
2026-02-06,"Hoses & Bellows",14991,226583.92
2026-02-06,"Other Automotive",10419,92318.74
2026-02-06,"Powertrain Mounts",4357,258072.17
2026-02-06,"Sealing",69287,222290.02
2026-02-07,"Cable Protection",4314,28363.52
2026-02-07,"Chassis NVH",3313,80512.88
2026-02-07,"Hoses & Bellows",4997,74721.4
2026-02-07,"Other Automotive",2647,23787.22
2026-02-07,"Powertrain Mounts",1327,76305.78
2026-02-07,"Sealing",16082,53240.63
2026-02-08,"Cable Protection",2268,14979.82
2026-02-08,"Chassis NVH",2538,59806.7
2026-02-08,"Hoses & Bellows",3546,51765.34
2026-02-08,"Other Automotive",1807,16096.84
2026-02-08,"Powertrain Mounts",1013,57512.43
2026-02-08,"Sealing",10149,31973.52
2026-02-09,"Cable Protection",24036,160394.8
2026-02-09,"Chassis NVH",10473,251255.31
2026-02-09,"Hoses & Bellows",16265,236426.64
2026-02-09,"Other Automotive",12010,108047.93
2026-02-09,"Powertrain Mounts",4538,260970.25
2026-02-09,"Sealing",78925,253400.56
2026-02-10,"Cable Protection",24113,161813.56
2026-02-10,"Chassis NVH",11538,271306.04
2026-02-10,"Hoses & Bellows",15667,236052.64
2026-02-10,"Other Automotive",12202,108057.4
2026-02-10,"Powertrain Mounts",4440,254065.84
2026-02-10,"Sealing",85065,265661.63
2026-02-11,"Cable Protection",26414,168271.74
2026-02-11,"Chassis NVH",11709,276086.08
2026-02-11,"Hoses & Bellows",15651,228944.55
2026-02-11,"Other Automotive",12070,106237.27
2026-02-11,"Powertrain Mounts",4572,260879.71
2026-02-11,"Sealing",87627,289280.13
2026-02-12,"Cable Protection",28980,186771.43
2026-02-12,"Chassis NVH",11103,264042.35
2026-02-12,"Hoses & Bellows",16077,243672.1
2026-02-12,"Other Automotive",11585,106758.55
2026-02-12,"Powertrain Mounts",5088,291358.94
2026-02-12,"Sealing",89796,282597.44
2026-02-13,"Cable Protection",22764,148952.75
2026-02-13,"Chassis NVH",10982,265671.74
2026-02-13,"Hoses & Bellows",13783,211029.97
2026-02-13,"Other Automotive",10779,96296.74
2026-02-13,"Powertrain Mounts",4325,254357.31
2026-02-13,"Sealing",76283,240555.2
2026-02-14,"Cable Protection",4459,29061.76
2026-02-14,"Chassis NVH",3582,87340.38
2026-02-14,"Hoses & Bellows",4463,67142.01
2026-02-14,"Other Automotive",2545,23106
2026-02-14,"Powertrain Mounts",1186,68758.55
2026-02-14,"Sealing",16595,52068.13
2026-02-15,"Cable Protection",2277,14745.38
2026-02-15,"Chassis NVH",2641,63433.59
2026-02-15,"Hoses & Bellows",3488,51059.79
2026-02-15,"Other Automotive",1789,15813.84
2026-02-15,"Powertrain Mounts",891,50750.47
2026-02-15,"Sealing",10639,33260.54
2026-02-16,"Cable Protection",22684,151585.4
2026-02-16,"Chassis NVH",11227,262502.38
2026-02-16,"Hoses & Bellows",14962,230843.91
2026-02-16,"Other Automotive",11383,101729.95
2026-02-16,"Powertrain Mounts",4583,270140.24
2026-02-16,"Sealing",76575,243492.24
2026-02-17,"Cable Protection",22929,146403.73
2026-02-17,"Chassis NVH",11031,265617.64
2026-02-17,"Hoses & Bellows",16539,247209.59
2026-02-17,"Other Automotive",11874,108778.16
2026-02-17,"Powertrain Mounts",4472,257113.72
2026-02-17,"Sealing",83295,264121.95
2026-02-18,"Cable Protection",22751,144211.63
2026-02-18,"Chassis NVH",11668,288303.16
2026-02-18,"Hoses & Bellows",15802,241228.87
2026-02-18,"Other Automotive",11663,104605.35
2026-02-18,"Powertrain Mounts",4608,265438.25
2026-02-18,"Sealing",92294,299947.77
2026-02-19,"Cable Protection",21544,138972.86
2026-02-19,"Chassis NVH",11189,269605.82
2026-02-19,"Hoses & Bellows",15112,222744.99
2026-02-19,"Other Automotive",11903,107621.96
2026-02-19,"Powertrain Mounts",4283,245493.05
2026-02-19,"Sealing",89502,276088.46
2026-02-20,"Cable Protection",20322,135274.09
2026-02-20,"Chassis NVH",10504,257091.04
2026-02-20,"Hoses & Bellows",13954,211301.39
2026-02-20,"Other Automotive",11783,108981.49
2026-02-20,"Powertrain Mounts",4163,241327.62
2026-02-20,"Sealing",79110,244597.25
2026-02-21,"Cable Protection",3832,24249.28
2026-02-21,"Chassis NVH",3399,82604.58
2026-02-21,"Hoses & Bellows",4534,65558.46
2026-02-21,"Other Automotive",3162,29497.38
2026-02-21,"Powertrain Mounts",1288,73446.29
2026-02-21,"Sealing",17786,56033.22
2026-02-22,"Cable Protection",2035,13210.95
2026-02-22,"Chassis NVH",2605,63604.12
2026-02-22,"Hoses & Bellows",3256,48912.48
2026-02-22,"Other Automotive",1964,17905.11
2026-02-22,"Powertrain Mounts",972,55936.82
2026-02-22,"Sealing",11321,36403.73
2026-02-23,"Cable Protection",22087,149464.76
2026-02-23,"Chassis NVH",11646,275672.58
2026-02-23,"Hoses & Bellows",14369,214663.5
2026-02-23,"Other Automotive",12095,113212.26
2026-02-23,"Powertrain Mounts",4795,279506.49
2026-02-23,"Sealing",86848,271471.3
2026-02-24,"Cable Protection",25046,163573.49
2026-02-24,"Chassis NVH",11520,276843.37
2026-02-24,"Hoses & Bellows",15205,224750.92
2026-02-24,"Other Automotive",12530,114229.44
2026-02-24,"Powertrain Mounts",5182,295223.69
2026-02-24,"Sealing",90436,296551.11
2026-02-25,"Cable Protection",26958,175628.96
2026-02-25,"Chassis NVH",11803,287837.14
2026-02-25,"Hoses & Bellows",16799,251574.08
2026-02-25,"Other Automotive",13098,116185.76
2026-02-25,"Powertrain Mounts",4879,290862.27
2026-02-25,"Sealing",91901,297484.32
2026-02-26,"Cable Protection",28610,186911.15
2026-02-26,"Chassis NVH",12079,284698.84
2026-02-26,"Hoses & Bellows",16096,244118.25
2026-02-26,"Other Automotive",12853,114678.89
2026-02-26,"Powertrain Mounts",4912,272157.68
2026-02-26,"Sealing",89182,290538.6
2026-02-27,"Cable Protection",26747,177592.13
2026-02-27,"Chassis NVH",10612,256018.98
2026-02-27,"Hoses & Bellows",14531,220665.91
2026-02-27,"Other Automotive",11994,110040
2026-02-27,"Powertrain Mounts",4073,239175.13
2026-02-27,"Sealing",84809,270720.8
2026-02-28,"Cable Protection",5108,33124.24
2026-02-28,"Chassis NVH",3244,76581.78
2026-02-28,"Hoses & Bellows",4671,70296.78
2026-02-28,"Other Automotive",3004,27269.7
2026-02-28,"Powertrain Mounts",1286,75164.32
2026-02-28,"Sealing",19543,62192.03
2026-03-01,"Cable Protection",2576,16735.25
2026-03-01,"Chassis NVH",2399,58093.36
2026-03-01,"Hoses & Bellows",3862,57323.5
2026-03-01,"Other Automotive",1914,17249.96
2026-03-01,"Powertrain Mounts",1083,60852.12
2026-03-01,"Sealing",11304,36438.61
2026-03-02,"Cable Protection",27386,180895.06
2026-03-02,"Chassis NVH",10960,258420.27
2026-03-02,"Hoses & Bellows",16559,248731.84
2026-03-02,"Other Automotive",11934,106638.32
2026-03-02,"Powertrain Mounts",5009,289055.79
2026-03-02,"Sealing",89652,291943.52
2026-03-03,"Cable Protection",29232,186196.73
2026-03-03,"Chassis NVH",12302,291567.84
2026-03-03,"Hoses & Bellows",16030,241836.15
2026-03-03,"Other Automotive",12039,107812.62
2026-03-03,"Powertrain Mounts",5002,283100.24
2026-03-03,"Sealing",98299,323859.18
2026-03-04,"Cable Protection",29129,193137.64
2026-03-04,"Chassis NVH",11766,271325.95
2026-03-04,"Hoses & Bellows",17966,267035.02
2026-03-04,"Other Automotive",13049,118249.69
2026-03-04,"Powertrain Mounts",5235,308249.33
2026-03-04,"Sealing",92553,290297.53
2026-03-05,"Cable Protection",27237,183400.05
2026-03-05,"Chassis NVH",12185,292281.14
2026-03-05,"Hoses & Bellows",17942,262304.71
2026-03-05,"Other Automotive",12257,107533.42
2026-03-05,"Powertrain Mounts",4933,280685.22
2026-03-05,"Sealing",90201,288992.39
2026-03-06,"Cable Protection",25179,163091.29
2026-03-06,"Chassis NVH",11244,260639.16
2026-03-06,"Hoses & Bellows",15325,228024.13
2026-03-06,"Other Automotive",11206,101028.43
2026-03-06,"Powertrain Mounts",4457,260120.24
2026-03-06,"Sealing",87658,275861.94
2026-03-07,"Cable Protection",4520,29127.17
2026-03-07,"Chassis NVH",3326,80830.77
2026-03-07,"Hoses & Bellows",4861,74439.56
2026-03-07,"Other Automotive",2698,24671.19
2026-03-07,"Powertrain Mounts",1375,80264.8
2026-03-07,"Sealing",18241,57940
2026-03-08,"Cable Protection",2541,16252.84
2026-03-08,"Chassis NVH",2501,59197.78
2026-03-08,"Hoses & Bellows",3703,57123.72
2026-03-08,"Other Automotive",1745,15158.73
2026-03-08,"Powertrain Mounts",905,51567.13
2026-03-08,"Sealing",11639,37886.21
2026-03-09,"Cable Protection",27291,181827.45
2026-03-09,"Chassis NVH",10972,257239.83
2026-03-09,"Hoses & Bellows",15462,231515.82
2026-03-09,"Other Automotive",11479,103491.46
2026-03-09,"Powertrain Mounts",4864,286190.72
2026-03-09,"Sealing",85394,274478.92
2026-03-10,"Cable Protection",28228,179911.79
2026-03-10,"Chassis NVH",11752,289529.64
2026-03-10,"Hoses & Bellows",17622,273904.67
2026-03-10,"Other Automotive",12346,112661.86
2026-03-10,"Powertrain Mounts",5174,298046.59
2026-03-10,"Sealing",92253,304432.77
2026-03-11,"Cable Protection",29275,193610.72
2026-03-11,"Chassis NVH",12242,291096.97
2026-03-11,"Hoses & Bellows",17378,262487.92
2026-03-11,"Other Automotive",14131,127223.69
2026-03-11,"Powertrain Mounts",5415,303447.58
2026-03-11,"Sealing",93648,295132.5
2026-03-12,"Cable Protection",27298,174619.86
2026-03-12,"Chassis NVH",12118,291477.22
2026-03-12,"Hoses & Bellows",17034,252528.36
2026-03-12,"Other Automotive",12491,114229.86
2026-03-12,"Powertrain Mounts",5187,296499.04
2026-03-12,"Sealing",92581,295593.92
2026-03-13,"Cable Protection",25202,166716.53
2026-03-13,"Chassis NVH",10809,253991.09
2026-03-13,"Hoses & Bellows",15826,237594.88
2026-03-13,"Other Automotive",10504,94274.24
2026-03-13,"Powertrain Mounts",4461,256423.6
2026-03-13,"Sealing",87798,277102.81
2026-03-14,"Cable Protection",4712,30470.71
2026-03-14,"Chassis NVH",3490,84866.79
2026-03-14,"Hoses & Bellows",5308,80474.29
2026-03-14,"Other Automotive",2592,23198.48
2026-03-14,"Powertrain Mounts",1367,79056.6
2026-03-14,"Sealing",17785,55271.73
2026-03-15,"Cable Protection",2260,14176.36
2026-03-15,"Chassis NVH",2520,60357.82
2026-03-15,"Hoses & Bellows",3783,57089.67
2026-03-15,"Other Automotive",1740,15923.62
2026-03-15,"Powertrain Mounts",979,58421.46
2026-03-15,"Sealing",10772,34765.71
2026-03-16,"Cable Protection",25296,162169.21
2026-03-16,"Chassis NVH",11567,277279.94
2026-03-16,"Hoses & Bellows",15077,225212.18
2026-03-16,"Other Automotive",11416,105968.69
2026-03-16,"Powertrain Mounts",4764,276248.5
2026-03-16,"Sealing",83931,266111.94
2026-03-17,"Cable Protection",26129,168037.07
2026-03-17,"Chassis NVH",11804,280180.5
2026-03-17,"Hoses & Bellows",16530,246656.24
2026-03-17,"Other Automotive",11392,103614.65
2026-03-17,"Powertrain Mounts",5009,293087.03
2026-03-17,"Sealing",89770,284227.37
2026-03-18,"Cable Protection",26048,171049.11
2026-03-18,"Chassis NVH",11756,282951.85
2026-03-18,"Hoses & Bellows",18019,274171.4
2026-03-18,"Other Automotive",11530,103901.06
2026-03-18,"Powertrain Mounts",5258,296570.96
2026-03-18,"Sealing",94471,303303.88
2026-03-19,"Cable Protection",26215,168154.32
2026-03-19,"Chassis NVH",11934,277781.35
2026-03-19,"Hoses & Bellows",17155,253502.7
2026-03-19,"Other Automotive",11827,105542.37
2026-03-19,"Powertrain Mounts",4729,271549.12
2026-03-19,"Sealing",85988,276623.53
2026-03-20,"Cable Protection",25129,161723.69
2026-03-20,"Chassis NVH",10992,260013.11
2026-03-20,"Hoses & Bellows",16279,242153.24
2026-03-20,"Other Automotive",11163,98204.16
2026-03-20,"Powertrain Mounts",4756,281314.07
2026-03-20,"Sealing",85828,275203.26
2026-03-21,"Cable Protection",4682,30500.42
2026-03-21,"Chassis NVH",3403,82831.79
2026-03-21,"Hoses & Bellows",4965,72571.87
2026-03-21,"Other Automotive",2754,24542.61
2026-03-21,"Powertrain Mounts",1393,80994.39
2026-03-21,"Sealing",17918,58804.3
2026-03-22,"Cable Protection",2619,17093.8
2026-03-22,"Chassis NVH",2524,59119.07
2026-03-22,"Hoses & Bellows",3855,57959.88
2026-03-22,"Other Automotive",1941,17257
2026-03-22,"Powertrain Mounts",976,58406.25
2026-03-22,"Sealing",11615,36479.03
2026-03-23,"Cable Protection",26940,177379.36
2026-03-23,"Chassis NVH",10703,253956.46
2026-03-23,"Hoses & Bellows",15889,241305.01
2026-03-23,"Other Automotive",12007,110269.21
2026-03-23,"Powertrain Mounts",4650,266654.86
2026-03-23,"Sealing",84436,277063.81
2026-03-24,"Cable Protection",26877,178407.38
2026-03-24,"Chassis NVH",11047,265205.64
2026-03-24,"Hoses & Bellows",15970,245485.62
2026-03-24,"Other Automotive",12421,111613.35
2026-03-24,"Powertrain Mounts",4931,283638.89
2026-03-24,"Sealing",89213,279922.5
2026-03-25,"Cable Protection",27202,182994.12
2026-03-25,"Chassis NVH",12042,286971.73
2026-03-25,"Hoses & Bellows",16842,251503.2
2026-03-25,"Other Automotive",13723,123269.45
2026-03-25,"Powertrain Mounts",5240,305421.47
2026-03-25,"Sealing",89433,284855.7
2026-03-26,"Cable Protection",25776,171515.94
2026-03-26,"Chassis NVH",12152,287401.09
2026-03-26,"Hoses & Bellows",15356,230914.06
2026-03-26,"Other Automotive",12584,112037.75
2026-03-26,"Powertrain Mounts",5213,306735.11
2026-03-26,"Sealing",80164,248806.43
2026-03-27,"Cable Protection",24648,162559.97
2026-03-27,"Chassis NVH",11022,262389.06
2026-03-27,"Hoses & Bellows",13616,206660.73
2026-03-27,"Other Automotive",10960,98908.31
2026-03-27,"Powertrain Mounts",4287,250046.66
2026-03-27,"Sealing",74224,233282.14
2026-03-28,"Cable Protection",4490,29253.63
2026-03-28,"Chassis NVH",3623,87728.74
2026-03-28,"Hoses & Bellows",4578,67562.07
2026-03-28,"Other Automotive",2637,24479.6
2026-03-28,"Powertrain Mounts",1312,74878.91
2026-03-28,"Sealing",16062,50725.12
2026-03-29,"Cable Protection",2385,14972.2
2026-03-29,"Chassis NVH",2546,60333.52
2026-03-29,"Hoses & Bellows",3440,51223.61
2026-03-29,"Other Automotive",1843,16371.39
2026-03-29,"Powertrain Mounts",1006,59864.21
2026-03-29,"Sealing",10094,31770.28
2026-03-30,"Cable Protection",22814,148750.88
2026-03-30,"Chassis NVH",9989,239355.36
2026-03-30,"Hoses & Bellows",13675,203065.99
2026-03-30,"Other Automotive",11587,105794.2
2026-03-30,"Powertrain Mounts",4518,265937.55
2026-03-30,"Sealing",72375,231889.65
2026-03-31,"Cable Protection",26093,169229.29
2026-03-31,"Chassis NVH",10621,249793.28
2026-03-31,"Hoses & Bellows",13777,210786.83
2026-03-31,"Other Automotive",11868,104026.53
2026-03-31,"Powertrain Mounts",4563,273485.49
2026-03-31,"Sealing",83043,269639.49
2026-04-01,"Cable Protection",22500,144033.77
2026-04-01,"Chassis NVH",10413,246561.61
2026-04-01,"Hoses & Bellows",14810,220548.03
2026-04-01,"Other Automotive",9791,86023.08
2026-04-01,"Powertrain Mounts",4204,247657.14
2026-04-01,"Sealing",75754,240505.96
2026-04-02,"Cable Protection",5028,31892.06
2026-04-02,"Chassis NVH",3747,91051.65
2026-04-02,"Hoses & Bellows",4894,71620.74
2026-04-02,"Other Automotive",2992,26589.38
2026-04-02,"Powertrain Mounts",1473,85792.25
2026-04-02,"Sealing",20893,64427.65
2026-04-03,"Cable Protection",21058,140620.97
2026-04-03,"Chassis NVH",10954,268157.99
2026-04-03,"Hoses & Bellows",13104,203403.29
2026-04-03,"Other Automotive",10818,100988.11
2026-04-03,"Powertrain Mounts",4215,242941.29
2026-04-03,"Sealing",81345,250543.86
2026-04-04,"Cable Protection",1967,13382.9
2026-04-04,"Chassis NVH",2523,60442.03
2026-04-04,"Hoses & Bellows",3315,49853.93
2026-04-04,"Other Automotive",1722,15744.19
2026-04-04,"Powertrain Mounts",923,53091.73
2026-04-04,"Sealing",9988,31975.95
2026-04-05,"Cable Protection",2300,15026.97
2026-04-05,"Chassis NVH",2491,59721.07
2026-04-05,"Hoses & Bellows",3154,46180.18
2026-04-05,"Other Automotive",1869,17379.27
2026-04-05,"Powertrain Mounts",942,54851.09
2026-04-05,"Sealing",10662,34319.77
2026-04-06,"Cable Protection",23745,150671.78
2026-04-06,"Chassis NVH",10604,252421
2026-04-06,"Hoses & Bellows",13391,207080.91
2026-04-06,"Other Automotive",11274,102666.89
2026-04-06,"Powertrain Mounts",4257,248551.13
2026-04-06,"Sealing",86188,270052.62
2026-04-07,"Cable Protection",20296,129222.92
2026-04-07,"Chassis NVH",9942,245562.3
2026-04-07,"Hoses & Bellows",13953,206487.69
2026-04-07,"Other Automotive",10152,92125.65
2026-04-07,"Powertrain Mounts",3964,222654.9
2026-04-07,"Sealing",81374,259547.08
2026-04-08,"Cable Protection",21239,135059.4
2026-04-08,"Chassis NVH",10876,263753.35
2026-04-08,"Hoses & Bellows",14386,209795.85
2026-04-08,"Other Automotive",11357,100199.97
2026-04-08,"Powertrain Mounts",4107,236646.74
2026-04-08,"Sealing",85449,273052.99
2026-04-09,"Cable Protection",20963,138698.81
2026-04-09,"Chassis NVH",10184,247457.34
2026-04-09,"Hoses & Bellows",15407,236730.85
2026-04-09,"Other Automotive",10727,97868.21
2026-04-09,"Powertrain Mounts",4196,235729.98
2026-04-09,"Sealing",86858,280120.57
2026-04-10,"Cable Protection",19626,125022.69
2026-04-10,"Chassis NVH",9275,221219.35
2026-04-10,"Hoses & Bellows",14605,225916.15
2026-04-10,"Other Automotive",10197,91668.43
2026-04-10,"Powertrain Mounts",3977,233301.83
2026-04-10,"Sealing",77598,249167.31
2026-04-11,"Cable Protection",4011,26166.71
2026-04-11,"Chassis NVH",3132,76651.11
2026-04-11,"Hoses & Bellows",4795,71694.32
2026-04-11,"Other Automotive",2606,23221.95
2026-04-11,"Powertrain Mounts",1363,81485.92
2026-04-11,"Sealing",17896,56623.86
2026-04-12,"Cable Protection",2376,14876.83
2026-04-12,"Chassis NVH",2581,62022.22
2026-04-12,"Hoses & Bellows",3511,51734.79
2026-04-12,"Other Automotive",1795,16396.48
2026-04-12,"Powertrain Mounts",1040,59829.42
2026-04-12,"Sealing",11394,36093.84
2026-04-13,"Cable Protection",23315,151708.86
2026-04-13,"Chassis NVH",10592,249677.28
2026-04-13,"Hoses & Bellows",14994,222513.57
2026-04-13,"Other Automotive",11613,99853.89
2026-04-13,"Powertrain Mounts",4651,265759.6
2026-04-13,"Sealing",80580,258899.05
2026-04-14,"Cable Protection",24129,154246.66
2026-04-14,"Chassis NVH",10606,256835.05
2026-04-14,"Hoses & Bellows",15460,229900.11
2026-04-14,"Other Automotive",11778,104925.06
2026-04-14,"Powertrain Mounts",4633,263632.14
2026-04-14,"Sealing",85789,276936.15
2026-04-15,"Cable Protection",24141,158104.39
2026-04-15,"Chassis NVH",10585,253650.1
2026-04-15,"Hoses & Bellows",16181,240502.01
2026-04-15,"Other Automotive",11733,111127.05
2026-04-15,"Powertrain Mounts",4712,269350.94
2026-04-15,"Sealing",89479,287420.91
2026-04-16,"Cable Protection",23600,153682.28
2026-04-16,"Chassis NVH",10807,259739.19
2026-04-16,"Hoses & Bellows",15087,222579.23
2026-04-16,"Other Automotive",11212,97606.06
2026-04-16,"Powertrain Mounts",4794,278057.62
2026-04-16,"Sealing",88006,274841.27
2026-04-17,"Cable Protection",20119,130715.46
2026-04-17,"Chassis NVH",9837,244298.16
2026-04-17,"Hoses & Bellows",14091,207921.99
2026-04-17,"Other Automotive",10131,92008.74
2026-04-17,"Powertrain Mounts",4299,239535.69
2026-04-17,"Sealing",81686,263349.93
2026-04-18,"Cable Protection",3865,25687.33
2026-04-18,"Chassis NVH",3200,75878.32
2026-04-18,"Hoses & Bellows",4701,71057.68
2026-04-18,"Other Automotive",2473,21906.77
2026-04-18,"Powertrain Mounts",1393,82180.36
2026-04-18,"Sealing",18650,59515.35
2026-04-19,"Cable Protection",2103,13556.42
2026-04-19,"Chassis NVH",2483,58266.76
2026-04-19,"Hoses & Bellows",3437,51712.41
2026-04-19,"Other Automotive",1818,16640.34
2026-04-19,"Powertrain Mounts",956,56148.04
2026-04-19,"Sealing",11263,35759.71
2026-04-20,"Cable Protection",26591,173854.04
2026-04-20,"Chassis NVH",12465,301224.23
2026-04-20,"Hoses & Bellows",13718,206546.59
2026-04-20,"Other Automotive",11423,102579.43
2026-04-20,"Powertrain Mounts",4244,251323.65
2026-04-20,"Sealing",76455,244572.33
2026-04-21,"Cable Protection",25099,163625.56
2026-04-21,"Chassis NVH",11668,284099.2
2026-04-21,"Hoses & Bellows",16051,237931.19
2026-04-21,"Other Automotive",11208,99849.3
2026-04-21,"Powertrain Mounts",4377,245090.62
2026-04-21,"Sealing",91590,298207.02
2026-04-22,"Cable Protection",23370,151365.7
2026-04-22,"Chassis NVH",11511,274662.13
2026-04-22,"Hoses & Bellows",16072,232658.51
2026-04-22,"Other Automotive",11981,105826.58
2026-04-22,"Powertrain Mounts",4530,260039.85
2026-04-22,"Sealing",90679,287854.07
2026-04-23,"Cable Protection",22201,146707.83
2026-04-23,"Chassis NVH",10978,257567.86
2026-04-23,"Hoses & Bellows",15656,231954.9
2026-04-23,"Other Automotive",11525,103354.73
2026-04-23,"Powertrain Mounts",4565,268744.1
2026-04-23,"Sealing",87895,274743.23
2026-04-24,"Cable Protection",20720,134864.6
2026-04-24,"Chassis NVH",10082,235999.88
2026-04-24,"Hoses & Bellows",14672,222272.98
2026-04-24,"Other Automotive",11142,101446.04
2026-04-24,"Powertrain Mounts",4167,238318.31
2026-04-24,"Sealing",76525,243854.29
2026-04-25,"Cable Protection",4296,28060.15
2026-04-25,"Chassis NVH",3462,82620.38
2026-04-25,"Hoses & Bellows",5199,79524.92
2026-04-25,"Other Automotive",2894,25917.02
2026-04-25,"Powertrain Mounts",1297,75030.7
2026-04-25,"Sealing",17865,56980.74
2026-04-26,"Cable Protection",2348,15114.76
2026-04-26,"Chassis NVH",2619,65316.84
2026-04-26,"Hoses & Bellows",3725,55590.36
